Track Name,Artist,Album,Release Date,Popularity
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,99
Espresso,Sabrina Carpenter,Espresso,2024-04-12,99
Please Please Please,Sabrina Carpenter,Please Please Please,2024-06-06,98
Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,97
Gata Only,"FloyyMenor, Cris Mj",Gata Only,2024-02-02,96
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,2024-06-21,92
A Bar Song (Tipsy),Shaboozey,"Where I've Been, Isn't Where I'm Going",2024-05-31,88
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,95
Beautiful Things,Benson Boone,Fireworks & Rollerblades,2024-04-05,91
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,2024-04-26,95
Houdini,Eminem,The Death of Slim Shady (Coup De Grâce),2024-07-12,73
Too Sweet,Hozier,Unreal Unearth: Unheard,2024-03-22,89
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,2024-05-10,95
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,91
Rockstar,LISA,Rockstar,2024-06-27,91
Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),2024-06-28,84
i like the way you kiss me,Artemas,yustyna,2024-07-11,60
Stargazing,Myles Smith,Stargazing,2024-05-10,93
End of Beginning,Djo,DECIDE,2022-09-16,93
As It Was,Harry Styles,Harry's House,2022-05-20,92
REAL GANGSTA LOVE,Trueno,EL ÚLTIMO BAILE,2024-05-23,92
Cruel Summer,Taylor Swift,Lover,2019-08-23,92
LUNCH,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,95
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,2024-04-18,92
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,90
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,91
Austin (Boots Stop Workin'),Dasha,What Happens Now?,2024-02-16,91
The Night We Met,Lord Huron,Strange Trails,2015-04-06,89
Smeraldo Garden Marching Band (feat. Loco),"Jimin, Loco",Smeraldo Garden Marching Band (feat. Loco),2024-06-28,92
Renaissance,Eminem,The Death of Slim Shady (Coup De Grâce),2024-07-12,79
Tough,"Quavo, Lana Del Rey",Tough,2024-07-03,86
Sweater Weather,The Neighbourhood,I Love You.,2013-04-19,90
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,93
LUNA,"Feid, ATL Jacob",FERXXOCALIPSIS,2023-12-01,91
Habits,"Eminem, White Gold",The Death of Slim Shady (Coup De Grâce),2024-07-12,78
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,2024-06-07,87
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,2008-05-26,86
EL RITMO QUE NOS UNE - feat. Selección Colombia,"Ryan Castro, SOG",EL RITMO QUE NOS UNE (feat. Selección Colombia),2024-06-08,74
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),2024-05-23,91
I Wanna Be Yours,Arctic Monkeys,AM,2013-09-09,91
Belong Together,Mark Ambor,Belong Together,2024-02-16,91
Mirame,"Blessd, Ovy On The Drums",Mirame,2024-04-17,84
ADIVINO,"Myke Towers, Bad Bunny",ADIVINO,2024-04-25,89
Santa,"Rvssian, Rauw Alejandro, Ayra Starr",Santa,2024-04-03,84
Tobey (feat. Big Sean and BabyTron),"Eminem, Big Sean, BabyTron",The Death of Slim Shady (Coup De Grâce),2024-07-12,72
Brand New Dance,Eminem,The Death of Slim Shady (Coup De Grâce),2024-07-12,77
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,89
I Don't Wanna Wait,"David Guetta, OneRepublic",I Don't Wanna Wait,2024-04-05,90
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",Flower Boy,2017-07-21,89
"Tauba Tauba (From ""Bad Newz"")",Karan Aujla,"Tauba Tauba (From ""Bad Newz"")",2024-07-02,76
